DATE,CURRENCY_NAME,CURRENCY_CODE,TERMS,INTERNAL_SPOT_RATE,BUY_RATE,SELL_RATE,BOSS_RATE,CUTOFF_TIME
17-May-19,Pound Sterling,JPY,D,1.9,2.78,1.6,1.73,15:00:00
18-May-19,Japanese yen,CAD,D,2.6,2.45,2.71,2.21,15:00:00
19-May-19,Pound Sterling,GBP,D,1.1,1.47,3.4,1.62,15:00:00
20-May-19,Emirati dirham,AED,D,3,2.12,1.95,2.85,15:00:00
21-May-19,Emirati dirham,AED,D,1.9,1.01,1.02,1.99,15:00:00
22-May-19,Canadian dollar,GBP,M,1.4,1.35,3.71,1.53,15:00:00
23-May-19,Emirati dirham,JPY,D,2.7,2,3.59,2.55,15:00:00
24-May-19,Emirati dirham,JPY,M,1.4,2.25,1.64,1.83,15:00:00
25-May-19,Emirati dirham,JPY,M,1.1,2.82,1.01,1.76,15:00:00
26-May-19,Canadian dollar,EUR,D,2,2.24,2.78,1.96,15:00:00
27-May-19,Canadian dollar,NZD,D,2.2,1.52,3.71,1.69,15:00:00
28-May-19,Emirati dirham,JPY,D,2.1,1.01,2.7,2.14,15:00:00
29-May-19,Euro,AED,M,1.6,2.78,1.08,2.91,15:00:00
30-May-19,Emirati dirham,CAD,D,2.9,1.52,1.82,1.63,15:00:00
31-May-19,Japanese yen,GBP,M,2.9,2.36,3.53,2.9,15:00:00
01-Jun-19,Euro,GBP,D,1.3,2.33,2.13,2.88,15:00:00
02-Jun-19,Canadian dollar,GBP,D,2.8,1.3,3.76,2.41,15:00:00
03-Jun-19,New Zealand dollar,NZD,M,2.1,2.97,3.81,2.47,15:00:00
04-Jun-19,Australian dollar,AUD,D,2.6,1.43,1.93,2.87,15:00:00
05-Jun-19,Pound Sterling,AED,D,1.2,1.89,1.02,1.58,15:00:00
06-Jun-19,Euro,CAD,D,1.9,2.95,1.36,2.54,15:00:00
07-Jun-19,Australian dollar,GBP,D,2,2.12,1.39,2.34,15:00:00
08-Jun-19,New Zealand dollar,AUD,M,2.5,1.81,1.37,1.5,15:00:00
09-Jun-19,Pound Sterling,AUD,D,2.4,2.35,3.53,1.72,15:00:00
10-Jun-19,New Zealand dollar,CAD,M,1.4,1.58,3.32,2.74,15:00:00
11-Jun-19,Pound Sterling,AED,M,2.5,2.98,3.97,2.26,15:00:00
12-Jun-19,Pound Sterling,CAD,M,2,2.88,3.49,2.3,15:00:00
13-Jun-19,Euro,EUR,D,2,1.55,3.59,2.67,15:00:00
14-Jun-19,Australian dollar,GBP,M,2.5,1.34,3.28,2.8,15:00:00
15-Jun-19,Emirati dirham,JPY,D,2.4,2.77,2.74,1.94,15:00:00
16-Jun-19,Pound Sterling,NZD,D,1.1,1.45,2.19,2.02,15:00:00
17-Jun-19,New Zealand dollar,JPY,M,1.6,2.08,2.11,2.56,15:00:00
18-Jun-19,Japanese yen,NZD,M,1.1,1.95,1.41,2.61,15:00:00
19-Jun-19,New Zealand dollar,AED,D,1.4,1.38,1.02,2.83,15:00:00
20-Jun-19,Euro,AED,M,2.7,1.6,2.7,1.78,15:00:00
21-Jun-19,Australian dollar,EUR,D,1.2,2.15,1.7,2.96,15:00:00
22-Jun-19,Pound Sterling,JPY,D,2.6,1.1,3.74,1.6,15:00:00
23-Jun-19,New Zealand dollar,NZD,D,1.7,1.22,2.51,1.05,15:00:00
24-Jun-19,Canadian dollar,EUR,M,2.6,2.53,2.39,1.85,15:00:00
25-Jun-19,Japanese yen,EUR,D,2.8,2.03,3.84,2.31,15:00:00
26-Jun-19,Euro,CAD,D,2.1,1.62,3.38,2.48,15:00:00
27-Jun-19,Canadian dollar,CAD,M,2.6,2.69,3.36,2.72,15:00:00
28-Jun-19,Canadian dollar,CAD,D,1.2,2.74,3.83,2.46,15:00:00
29-Jun-19,Canadian dollar,GBP,D,1.7,1.7,1.62,1.48,15:00:00
30-Jun-19,Emirati dirham,EUR,M,2.7,2.1,2.62,1.09,15:00:00
01-Jul-19,Euro,JPY,M,1,1.45,3.84,2.14,15:00:00
02-Jul-19,Euro,EUR,M,1.1,2.4,2.23,2.06,15:00:00
03-Jul-19,New Zealand dollar,AED,M,2.6,1.29,1.97,2.25,15:00:00
04-Jul-19,Canadian dollar,EUR,M,1.2,1.68,2.23,2.56,15:00:00
05-Jul-19,Pound Sterling,CAD,M,1.7,1.92,3.58,2.94,15:00:00
06-Jul-19,Emirati dirham,AUD,M,2.1,2.07,1.51,2.23,15:00:00
07-Jul-19,Emirati dirham,CAD,D,1,1.24,3.24,2.9,15:00:00
08-Jul-19,Emirati dirham,CAD,M,1.7,1.95,3.82,2.33,15:00:00
09-Jul-19,Emirati dirham,CAD,D,1.9,2.04,1.71,1.09,15:00:00
10-Jul-19,Emirati dirham,EUR,D,1.2,1.78,2.14,1.38,15:00:00
11-Jul-19,New Zealand dollar,JPY,D,1.7,1.76,1.79,1.8,15:00:00
12-Jul-19,New Zealand dollar,JPY,D,1.6,2.9,3.91,2.88,15:00:00
13-Jul-19,Canadian dollar,NZD,M,2.4,1.88,1.59,1.56,15:00:00
14-Jul-19,Canadian dollar,AED,D,1.3,1.14,2.1,2.95,15:00:00
15-Jul-19,New Zealand dollar,GBP,M,2.5,2.32,2.28,2.77,15:00:00
16-Jul-19,Japanese yen,CAD,M,1.8,2.09,2.49,2.2,15:00:00
17-Jul-19,New Zealand dollar,CAD,D,1.9,2.56,2.12,2.59,15:00:00
18-Jul-19,Euro,JPY,D,1.4,2.07,3.88,2.01,15:00:00
19-Jul-19,Canadian dollar,JPY,D,2.5,1.07,2.16,1.18,15:00:00
20-Jul-19,Japanese yen,NZD,D,2.2,2.55,1.89,2.41,15:00:00
21-Jul-19,Japanese yen,CAD,D,3,2.8,1.69,2.97,15:00:00
22-Jul-19,Pound Sterling,JPY,M,1.1,1.84,3.06,2.2,15:00:00
23-Jul-19,Japanese yen,EUR,D,1.6,2.77,2.44,2.37,15:00:00
24-Jul-19,Emirati dirham,EUR,D,1.4,1.48,3.5,2.67,15:00:00
25-Jul-19,Canadian dollar,GBP,M,2.3,2.56,3.16,2.19,15:00:00
26-Jul-19,Canadian dollar,GBP,M,2,2.25,3.33,2.44,15:00:00
27-Jul-19,Japanese yen,CAD,D,2.1,1.19,1.44,1.82,15:00:00
28-Jul-19,Australian dollar,JPY,D,1.1,2.55,1.61,2.1,15:00:00
29-Jul-19,New Zealand dollar,GBP,M,1.9,1.33,2.88,1.64,15:00:00
30-Jul-19,Emirati dirham,CAD,M,2.6,2.35,3.81,2.62,15:00:00
31-Jul-19,Australian dollar,AUD,M,2,2.6,3.4,1.15,15:00:00
01-Aug-19,Japanese yen,EUR,D,2.3,2.39,1.25,1.56,15:00:00
02-Aug-19,Canadian dollar,GBP,D,1.5,2.68,2.67,2.12,15:00:00
03-Aug-19,Emirati dirham,NZD,M,2.8,2.65,1.26,2.3,15:00:00
04-Aug-19,Canadian dollar,EUR,D,1.9,1.26,1.35,1.14,15:00:00
05-Aug-19,Emirati dirham,AUD,M,2,2.59,2.06,2.73,15:00:00
06-Aug-19,Australian dollar,EUR,M,1.7,2.16,3.77,1.14,15:00:00
07-Aug-19,New Zealand dollar,JPY,M,2.9,2.22,1,1.49,15:00:00
08-Aug-19,Euro,CAD,D,2,2.58,2.58,2.67,15:00:00
09-Aug-19,New Zealand dollar,GBP,M,2.7,2.53,2.76,2.03,15:00:00
